RunID,InstrumentID,RunDate,NumberOfCyclesR1,NumberofCyclesR2,FlowCellInDate?,PR2BottleInDate?,ReagentKitInDate?,%ReadsPassingFilter,%ReadsPassingFilterOutsideThreshold?,NumberofReadsPassingFilter,ReadCountWithinThreshold?,MeanClusterDensityPassingFilter,MeanClusterDensityWithinThreshold,COVClusterDensity,COVClusterDensityExceedsThreshold?,%MedianClusterDensityPassingFilter,GapBetweenClusterDensitiesPassingFilterAndNotExceedsThreshold?,ProportionOverQ30,IlluminaQ30Threshold,ProportionOverQ30ExceedsThreshold?,ProportionOverQ30Read1,ProportionOverQ30ExceedsThresholdRead1,ProportionOverQ30Read2,ProportionOverQ30ExceedsThresholdRead2,SlopeOfLineOfBestFitRead1,ThresholdSlopeR1,SlopeOfLineOfBestFitRead1ExceedsThreshold?,SlopeofLOBFR1_1,SlopeOfLOBFR1_2,R1_1overThresh?,R1_2overthresh,SlopeOfLineOfBestFitRead2,ThresholdSlopeR2,SlopeOfLineOfBestFitRead2ExceedsThreshold?,ProportionOfUndeterminedReads?,COVIndexes,COVIndexesExceedsThreshold?,OutlyingIndexes,OutlyingIndexes(Low),OutlyingIndexes(High),StateOfNTC
141222_M00766_0067_000000000-ACCB3,M00766,2014-12-22,151,151,in date,in date,in date,67.765325531,yes,14253970,low,760.3919821428571428571428571,OK,0.02981504227469948112190498763,no,68.18741363028515679940347689,yes,0.821393686653,0.8,no,0.854556540021,no,0.784264504686,yes,-0.0021202625805,-0.00244969399453,no,-0.000491365371424,-0.0052909696537,no,yes,-0.00135369809631,-0.00254254101512,no,OK,0.272831581579,yes,no outlying indexes, , ,NTC OK
150112_M00766_0068_000000000-A8PD8,M00766,2015-01-12,151,151,in date,in date,in date,94.8170281425,no,15773684,low,797.5388303571428571428571429,low,0.02858200351352876377543027049,no,94.98946403855704921136397661,no,0.92451490703,0.8,no,0.938764599257,no,0.908625888268,no,-0.000908449521127,-0.00244969399453,no,-0.000228065224307,-0.00117427791363,no,no,-0.000849419738694,-0.00254254101512,no,OK,0.205766766697,yes,no outlying indexes, , ,NTC OK
150114_M00766_0069_000000000-AA68B,M00766,2015-01-14,151,151,in date,in date,in date,77.8261626416,no,20704375,low,1148.075799107142857142857143,very high,0.02439712003705212579535560350,no,77.33153324902558727434069697,yes,0.863805951407,0.8,no,0.919494104427,no,0.813329982046,no,-0.000606814812197,-0.00244969399453,no,-0.000183386395124,-0.00104078803927,no,no,-0.000575871109369,-0.00254254101512,no,OK,0.189230804885,yes,['14M09058'],['14M09058'],[],NTC OK
150116_M00766_0070_000000000-ACC3G,M00766,2015-01-16,151,151,in date,in date,in date,86.2970148651,no,14147272,low,752.80145312500000000000000,low,0.04098568943899593918138426982,no,86.23220229734756438518112872,no,0.9336187397,0.8,no,0.957945689585,no,0.917690722628,no,-0.000143260230391,-0.00244969399453,no,9.10542004865e-05,-0.000406277441888,no,no,0.000220315418871,-0.00254254101512,no,OK,0.376492793315,yes,['14M11762-2' '3M0956-2' '3M0956' '14M11762'],['14M11762-2' '3M0956-2' '3M0956' '14M11762'],[],NTC OK
150120_M00766_0071_000000000-AA63K,M00766,2015-01-20,151,151,in date,in date,in date,85.969426001,no,14794255,low,793.1928883928571428571428571,low,0.05598996796654338075730541192,no,87.45920644400756637641686984,no,0.907790638024,0.8,no,0.934867734511,no,0.892847734448,no,-0.000608341510996,-0.00244969399453,no,-6.44064724029e-06,-0.00142458380285,no,no,-0.000644234716533,-0.00254254101512,no,OK,0.44894999441,yes,['9M4318'],[],['9M4318'],No NTC on run
150127_M00766_0072_000000000-ABRK7,M00766,2015-01-27,151,151,in date,in date,out of date,94.2570893031,no,17854832,low,926.0781696428571428571428571,low,0.02951072338989345861252896085,no,94.34352003109586666596630931,no,0.932572833017,0.8,no,0.95667638722,no,0.906913630806,no,-0.000540760228697,-0.00244969399453,no,-0.000164260997104,-0.000720039395161,no,no,-0.000676488200101,-0.00254254101512,no,OK,0.235579121439,yes,['14M12186'],[],['14M12186'],NTC OK
150130_M00766_0073_000000000-ACBVB,M00766,2015-01-30,251,251,in date,in date,in date,81.2781494276,no,23929178,low,1312.989638392857142857142857,very high,0.01797153051278407231719850202,no,81.13322148831717071031895935,no,0.662355643809,0.75,yes,0.702155804894,yes,0.619615637964,yes,-0.00336105092785,-0.003193154317,yes,-0.00100124754068,-0.00569295412781,no,yes,-0.00344930470032,-0.00468449750007,no,OK,0.313798497574,yes,no outlying indexes, , ,No NTC on run
150203_M00766_0074_000000000-AAUMH,M00766,2015-02-03,151,151,in date,in date,in date,81.6067535558,no,16649356,low,884.3212410714285714285714286,OK,0.05242824689274765001561895469,no,81.24510190924835007291957188,no,0.903422175957,0.8,no,0.928859553733,no,0.88526878113,no,-0.000478813648304,-0.00244969399453,no,6.96096770723e-05,-0.00109888083181,no,no,-0.000201412630494,-0.00254254101512,no,OK,0.35670128177,yes,['13M70724' '13M70411' '13M70386' '13M70429' '13M70467'],['13M70724' '13M70386'],['13M70411' '13M70429' '13M70467'],NTC OK
150205_M00766_0075_000000000-ACC43,M00766,2015-02-05,151,151,in date,in date,in date,93.254001435,no,17676890,low,914.0169352678571428571428571,low,0.03861733978920689258012011335,no,93.30737695301370000770981594,no,0.859498638454,0.8,no,0.894522971642,no,0.83020614647,no,-0.0019393923418,-0.00244969399453,no,-0.000664445501715,-0.00375467677661,no,yes,-0.00173184269249,-0.00254254101512,no,High,0.582757117534,yes,no outlying indexes, , ,NTC OK
150220_M00766_0077_000000000-AA2U8,M00766,2015-02-20,26,26,in date,in date,in date,11.2988503235,yes,3422864,low,175.397843750000000000000000,very high,0.06938741108079530576628029391,no,0.000000,yes,0.632108626597,0.9,yes,0.8844395984,yes,0.470345604868,yes,0.0,-0.00316774006479,no,0.0,0.0,no,no,0.0,-0.00479745288451,no,High,0.649696929962,yes,no outlying indexes, , ,No NTC on run
